name,lat,lon
Wilson,43.32,-78.83
Irondequoit Bay,43.23,-77.53
Sodus Bay,43.25,-76.97
Sodus Point,43.27,-76.98
Little Sodus Bay,43.33,-76.7
Nine Mile Point,43.52,-76.37
Mexico Bay,43.55,-76.28
North Pond,43.65,-76.18
Stony Island,43.9,-76.33
Point Peninsula,44,-76.25
Grenadier Island,44.05,-76.35
Chaumont Bay,44.05,-76.2
Three Mile Bay,44.07,-76.22
Niagara River,43.27,-79.07
St. Catharines,43.2,-79.27
Winona,43.22,-79.65
Burlington Bay,43.28,-79.83
Burlington Beach,43.3,-79.8
Dundas Marsh,43.27,-76.95
Desjardins Canal,43.25,-79.95
Bronte,43.4,-79.72
Port Credit,43.55,-79.58
Toronto,43.63,-79.42
Toronto Island,43.62,-79.4
Toronto Bay,43.63,-79.38
Brighton,44.03,-77.75
Wellers Bay,44,-77.58
Presqu'ile Bay,44.02,-77.7
Bald Head Beach,44,-77.6
Amherst Island,44.15,-76.72
Bay of Quinte,44.13,-77.25
Trenton,44.1,-77.57
Big Island,44.08,-77.25
Hogs Back Reef,44.14,-77.24
Cedar island,44.15,-77.33
Belleville,44.15,-77.38
Prinyer Cove,44.08,-76.88
