SCIENTIFIC_NAME,SPECIES,LAKE,LATITUDE,LONGITUDE,LOCATION,SPAWNING,SOURCE,REFERENCE
Coregonus nigripinnis,Blackfin cisco,Superior,46.67,-85.98333333,,Yes,GLAHF,Goodyear Spawning Atlas
Coregonus nigripinnis,Blackfin cisco,Superior,48.83,-87.51666667,,Yes,GLAHF,Goodyear Spawning Atlas
Coregonus hoyi,Bloater,Superior,47,-90.66666667,,Yes,GLAHF,Goodyear Spawning Atlas
Coregonus hoyi,Bloater,Superior,46.93,-90.58333333,,Yes,GLAHF,Goodyear Spawning Atlas
Coregonus hoyi,Bloater,Superior,46.88,-90.48333333,,Yes,GLAHF,Goodyear Spawning Atlas
Coregonus hoyi,Bloater,Superior,46.55,-87.38333333,,Yes,GLAHF,Goodyear Spawning Atlas
Coregonus artedi,Cisco,Superior,48,-89.56666667,,Yes,GLAHF,Goodyear Spawning Atlas
Coregonus artedi,Cisco,Superior,46.8,-92.08333333,,Yes,GLAHF,Goodyear Spawning Atlas
Coregonus artedi,Cisco,Superior,47.97,-89.68333333,,Yes,GLAHF,Goodyear Spawning Atlas
Coregonus artedi,Cisco,Superior,46.95,-91.78333333,,Yes,GLAHF,Goodyear Spawning Atlas
Coregonus artedi,Cisco,Superior,46.78,-91.38333333,,Yes,GLAHF,Goodyear Spawning Atlas
Coregonus artedi,Cisco,Superior,47,-90.66666667,,Yes,GLAHF,Goodyear Spawning Atlas
Coregonus artedi,Cisco,Superior,48.02,-89.51666667,,Yes,GLAHF,Goodyear Spawning Atlas
Coregonus artedi,Cisco,Superior,48.08,-89.43333333,,Yes,GLAHF,Goodyear Spawning Atlas
Coregonus artedi,Cisco,Superior,48.42,-89,,Yes,GLAHF,Goodyear Spawning Atlas
Coregonus artedi,Cisco,Superior,48.67,-88.5,,Yes,GLAHF,Goodyear Spawning Atlas
Coregonus artedi,Cisco,Superior,47.02,-91.66666667,,Yes,GLAHF,Goodyear Spawning Atlas
Coregonus artedi,Cisco,Superior,46.9,-91.88333333,,Yes,GLAHF,Goodyear Spawning Atlas
Coregonus artedi,Cisco,Superior,46.75,-92.08333333,,Yes,GLAHF,Goodyear Spawning Atlas
Coregonus artedi,Cisco,Superior,46.77,-92.03333333,,Yes,GLAHF,Goodyear Spawning Atlas
Coregonus artedi,Cisco,Superior,47.2,-91.36666667,,Yes,GLAHF,Goodyear Spawning Atlas
Coregonus artedi,Cisco,Superior,48.02,-89.51666667,,Yes,GLAHF,Goodyear Spawning Atlas
Coregonus artedi,Cisco,Superior,48,-89.56666667,,Yes,GLAHF,Goodyear Spawning Atlas
Coregonus artedi,Cisco,Superior,48,-89.5,,Yes,GLAHF,Goodyear Spawning Atlas
Coregonus artedi,Cisco,Superior,47.97,-89.61666667,,Yes,GLAHF,Goodyear Spawning Atlas
Coregonus artedi,Cisco,Superior,47.95,-89.66666667,,Yes,GLAHF,Goodyear Spawning Atlas
Coregonus artedi,Cisco,Superior,47.97,-89.68333333,,Yes,GLAHF,Goodyear Spawning Atlas
Coregonus artedi,Cisco,Superior,47.87,-89.91666667,,Yes,GLAHF,Goodyear Spawning Atlas
Coregonus artedi,Cisco,Superior,47.78,-90.16666667,,Yes,GLAHF,Goodyear Spawning Atlas
