"ice.year","date","month","week","jday","mean.ice.conc","n"
1973,"1972-12-20",12,51,355,0.30942945551273,18421
1973,"1972-12-28",12,52,363,2.32982303767235,18422
1973,"1973-01-02",1,1,2,2.65224706904038,18424
1973,"1973-01-09",1,2,9,19.9584735642167,18422
1973,"1973-01-16",1,3,16,10.6774508739551,18422
1973,"1973-01-23",1,4,23,5.2114549402823,18420
1973,"1973-01-30",1,5,30,23.2001736864959,18424
1973,"1973-02-06",2,6,37,14.1841276734339,18422
1973,"1973-02-13",2,7,44,19.4088910600879,18423
1973,"1973-02-20",2,8,51,60.6639161826177,18421
1973,"1973-02-27",2,9,58,34.5955922266855,18422
1973,"1973-03-06",3,10,65,9.26729986431479,18425
1973,"1973-03-13",3,11,72,1.02665725609425,18419
1973,"1973-03-21",3,12,80,0.385366912722536,18424
1973,"1973-03-27",3,13,86,0,18423
1973,"1973-04-06",4,14,96,0,18425
1974,"1973-12-31",12,53,365,5.50192735761985,18419
1974,"1974-01-10",1,2,10,26.6649478940512,18424
1974,"1974-01-17",1,3,17,11.8262497964501,18423
1974,"1974-01-23",1,4,23,7.25906229650532,18428
1974,"1974-01-31",1,5,31,5.00542888165038,18420
1974,"1974-02-07",2,6,38,13.9425686678971,18422
1974,"1974-02-14",2,7,45,16.8499620019542,18422
1974,"1974-02-21",2,8,52,19.4916404299207,18422
1974,"1974-02-28",2,9,59,17.358736362156,18423
1974,"1974-03-07",3,10,66,5.11804613297151,18425
1974,"1974-03-14",3,11,73,8.41176789882213,18423
1974,"1974-03-21",3,12,80,3.17545192986266,18421
1974,"1974-03-28",3,13,87,2.81731813246471,18420
1974,"1974-04-04",4,14,94,0.879526575818448,18419
1974,"1974-04-11",4,15,101,0,18423
1974,"1974-04-18",4,16,108,4.79700390794616,18424
1974,"1974-04-25",4,17,115,0,18423
1974,"1974-05-02",5,18,122,0,18422
1975,"1975-01-02",1,1,2,0.591683856258821,18422
1975,"1975-01-09",1,2,9,0,18422
1975,"1975-01-16",1,3,16,1.23771782205092,18421
1975,"1975-01-23",1,4,23,3.14816824966079,18425
1975,"1975-01-30",1,5,30,3.56223874925357,18421
1975,"1975-02-06",2,6,37,7.59635218760178,18422
1975,"1975-02-13",2,7,44,13.2101177875482,18423
1975,"1975-02-20",2,8,51,7.03940940180219,18422
1975,"1975-02-27",2,9,58,3.23146238193464,18422
1975,"1975-03-06",3,10,65,5.60352781546811,18425
1975,"1975-03-13",3,11,72,1.97823372957716,18423
1975,"1975-03-20",3,12,79,2.98827488872001,18422
