"ice.year","date","month","week","jday","mean.ice.conc","n"
1973,"1972-12-20",12,51,355,15.7902453653823,90029
1973,"1972-12-28",12,52,363,8.63321261137157,90014
1973,"1973-01-02",1,1,2,12.2106754054655,90020
1973,"1973-01-09",1,2,9,28.5921149103513,90018
1973,"1973-01-16",1,3,16,14.4728452250031,90021
1973,"1973-01-23",1,4,23,10.806433696932,90026
1973,"1973-01-30",1,5,30,20.9601733044493,90015
1973,"1973-02-06",2,6,37,12.5188583871219,90013
1973,"1973-02-13",2,7,44,25.0150530467144,90015
1973,"1973-02-20",2,8,51,38.2418815478108,90011
1973,"1973-02-27",2,9,58,69.5442125490109,90031
1973,"1973-03-06",3,10,65,54.9994445431923,90016
1973,"1973-03-13",3,11,72,32.9949788378009,90019
1973,"1973-03-21",3,12,80,9.32643494295775,90021
1973,"1973-03-27",3,13,86,4.39578935673814,90010
1973,"1973-04-06",4,14,96,1.26120621660353,90017
1974,"1973-12-31",12,53,365,12.2423407611473,90022
1974,"1974-01-10",1,2,10,36.1852892819054,90016
1974,"1974-01-17",1,3,17,32.0351588535881,90020
1974,"1974-01-23",1,4,23,21.6243945251744,90012
1974,"1974-01-31",1,5,31,20.7392594073926,90009
1974,"1974-02-07",2,6,38,38.1855147818551,90009
1974,"1974-02-14",2,7,45,72.1849098948959,90006
1974,"1974-02-21",2,8,52,72.5349702794289,90005
1974,"1974-02-28",2,9,59,73.1057770274023,90029
1974,"1974-03-07",3,10,66,53.7615947744365,90019
1974,"1974-03-14",3,11,73,57.8232588626087,90013
1974,"1974-03-21",3,12,80,68.6558757526607,90014
1974,"1974-03-28",3,13,87,72.1299155743168,90020
1974,"1974-04-04",4,14,94,53.0002888471665,90013
1974,"1974-04-11",4,15,101,25.1648614119869,90015
1974,"1974-04-18",4,16,108,17.9602266414843,90010
1974,"1974-04-25",4,17,115,11.2053050751441,90027
1974,"1974-05-02",5,18,122,7.39459855798607,90013
1975,"1975-01-02",1,1,2,1.77625073605386,90007
1975,"1975-01-09",1,2,9,4.01003132706792,90018
1975,"1975-01-16",1,3,16,9.55621466102354,90021
1975,"1975-01-23",1,4,23,16.4830593201511,90020
1975,"1975-01-30",1,5,30,17.1098532401595,90011
1975,"1975-02-06",2,6,37,25.1651336399387,90018
1975,"1975-02-13",2,7,44,64.5517919434755,90014
1975,"1975-02-20",2,8,51,34.5948723075727,90021
1975,"1975-02-27",2,9,58,22.5440779460288,90011
1975,"1975-03-06",3,10,65,21.8249691690646,90007
1975,"1975-03-13",3,11,72,30.6731175150532,90014
1975,"1975-03-20",3,12,79,11.6569092504749,90017
1975,"1975-03-27",3,13,86,14.1076784643071,90018
1975,"1975-04-03",4,14,93,21.6128584284143,90011
1975,"1975-04-10",4,15,100,8.51102594012109,90015
1975,"1975-04-17",4,16,107,2.91533821389293,90017
